scholar_no,student_name,dob_figure,dob_words,gender,father_name,f_qualification,f_occupation,mother_name,m_qualification,m_occupation,address,mobile,sssm_id,family_id,aadhar_no,caste,category,religion,bank_name,account_no,ifsc_code,photo_path,total_standard_fees,discount_amount,final_payable_fees,payment_mode,student_class,section,remaining_balance
1405,"AMIT SHARMA",2015-05-10,"Ten May Two Thousand Fifteen",Male,"Vijay Sharma",Graduate,Business,"Suman Sharma",12th,Housewife,"Indore, MP",9826011111,11112222,33334444,123456789001,Brahmin,GEN,Hindu,SBI,10000001,SBIN0001,uploads/test.jpg,15000.00,1000.00,14000.00,Installment,1st,A,0.00
1406,"PRIYA PATEL",2016-08-15,"Fifteen Aug Two Thousand Sixteen",Female,"Rajesh Patel",B.Tech,Engineer,"Meena Patel",MA,Teacher,"Rau, Indore",9826022222,11112223,33334445,123456789002,Kurmi,OBC,Hindu,BOI,10000002,BKID0001,uploads/test.jpg,12000.00,0.00,12000.00,Full,Nursery,None,0.00
1407,"MOHIT VERMA",2014-02-20,"Twenty Feb Two Thousand Fourteen",Male,"Suresh Verma",10th,Farmer,"Kiran Verma",8th,Housewife,"Dewas Naka",9826033333,11112224,33334446,123456789003,Kori,SC,Hindu,PNB,10000003,PUNB0001,uploads/test.jpg,18000.00,2000.00,16000.00,Installment,5th,B,8000.00
1408,"SARA KHAN",2015-12-05,"Five Dec Two Thousand Fifteen",Female,"Irfan Khan",Graduate,Shopkeeper,"Salma Khan",12th,Housewife,Khajrana,9826044444,11112225,33334447,123456789004,Pathan,GEN,,HDFC,10000004,HDFC0001,uploads/test.jpg,20000.00,5000.00,15000.00,Full,1st,C,0.00
1409,"RAHUL GUPTA",2013-11-11,"Eleven Nov Two Thousand Thirteen",Male,"Alok Gupta",M.Com,CA,"Ritu Gupta",B.Com,Banker,"Vijay Nagar",9826055555,11112226,33334448,123456789005,Baniya,GEN,Hindu,ICICI,10000005,ICIC0001,uploads/test.jpg,25000.00,0.00,25000.00,Installment,10th,A,10000.00
1410,"ANITA BHEEL",2017-01-01,"One Jan Two Thousand Seventeen",Female,"Kalu Singh",5th,Labour,"Radha Bai",Uneducated,Labour,"Bicholi Mardana",9826066666,11112227,33334449,123456789006,Bheel,ST,Hindu,SBI,10000006,SBIN0001,uploads/test.jpg,10000.00,3000.00,7000.00,Installment,LKG,None,2000.00
1411,"GURPREET SINGH",2015-06-20,"Twenty June Two Thousand Fifteen",Male,"Jagjit Singh",Graduate,Transport,"Kaur Singh",12th,Housewife,"LIG Colony",9826077777,11112228,33334450,123456789007,Jatt,GEN,Sikh,Axis,10000007,UTIB0001,uploads/test.jpg,15000.00,1000.00,14000.00,Full,4th,B,0.00
1412,"SIMRAN JAIN",2016-03-12,"Twelve March Two Thousand Sixteen",Female,"Vikas Jain",MBA,Business,"Anju Jain",Graduate,Housewife,Palasia,9826088888,11112229,33334451,123456789008,Jain,GEN,Jain,SBI,10000008,SBIN0001,uploads/test.jpg,22000.00,2000.00,20000.00,Installment,6th,C,5000.00
1413,"AYUSH YADAV",2014-09-30,"Thirty Sep Two Thousand Fourteen",Male,"Deepak Yadav",BA,Police,"Sarla Yadav",12th,Housewife,Annapurna,9826099999,11112230,33334452,123456789009,Ahir,OBC,Hindu,SBI,10000009,SBIN0001,uploads/test.jpg,16000.00,0.00,16000.00,Full,9th,A,0.00
1414,"ROHIT MEENA",2015-04-25,"Twenty Five April Two Thousand Fifteen",Male,"Gopal Meena",10th,Driver,"Sita Meena",8th,Housewife,"Rajendra Nagar",9826000000,11112231,33334453,123456789010,Meena,ST,,PNB,10000010,PUNB0001,"uploads/1773836068_Screenshot 2026-02-27 163812.png",14000.00,1000.00,13000.00,Installment,1st,B,4000.00
1501,ganesh,2010-02-23,"twenty three feb two thouusand five",Male,PUKHH,10,employee,Renu,9NINETH,WORKER,"54 indore",9826771862,154564646,4564654646,213790286172,KUMHAR,OBC,Sikh,"IFIC ",32113121458,31321231313131,"uploads/1774002513_Screenshot 2026-02-27 163812.png",18000.00,0.00,18000.00,Installment,3rd,A,18000.00
